1;Spaß;Fun;2018-06-28 18:49:22
2;bezaubernd, liebenswert;adorable;2018-06-29 12:20:13
3;fertig;done;2018-06-30 21:54:53
4;quasseln;verbose;2018-07-02 12:24:22
5;Zwickmühle, Sumpf;quagmire;2018-07-02 16:29:08
6;Mangeln, fehlen, benötigen;lack;2018-07-02 16:29:23
7;gezielt, bezweckt;aimed;2018-07-02 16:29:36
8;angemessen, passend, geeignet, sachgerecht;appropiately;2018-07-02 16:30:22
9;würdigen, schätzen, annerkennen;appreciate;2018-07-02 16:30:44
10;fällig, passend, nötig, gebührend;due;2018-07-02 16:31:20
11;Genauigkeit, Exaktheit, Sorgfalt;accuracy;2018-07-03 05:48:02
12;Zusammenhang, Zusammenhalt, Bindekraft;cohesion;2018-07-03 05:48:32
13;Fragebogen, Umfrage;questionnaire;2018-07-03 05:48:57
14;Treffer, treffen, schlagen;hit;2018-07-03 10:57:58
15;durchdacht, aufwendig, kompliziert, kunstvoll;elaborate;2018-07-03 12:13:34
16;erschlagen, umbringen, erledigen;slay;2018-07-03 12:13:47
17;ausradiert, ausgerottet, eliminiert;eradicated;2018-07-03 12:14:08
18;belehrend;edifying;2018-07-03 12:14:14
19;Übertreibung, Überzeichnung, Überspitzung;exaggeration;2018-07-03 12:14:27
20;Brüchigkeit, Sprödigkeit, Zerbrechlichkeit;brittleness;2018-07-03 12:14:49
21;proben, einstudieren, einüben;rehearse;2018-07-03 12:15:00
22;Verbindungen, Zusammensetzung;compounds;2018-07-03 12:15:10
23;Filter, Versickerung, Durchfluss, Perkolation;percolation;2018-07-03 12:15:21
24;löslich (alcohol-soluble = alkohollöslich);soluble;2018-07-03 12:15:42
25;letzte, jünger, letztgenannt;latter;2018-07-03 12:15:55
26;der Schock, Ruck, schütteln, anstoßen;jolt;2018-07-03 12:16:19
27;gedrängt, kurz (gefasst), präzise;concise;2018-07-03 12:16:37
28;stampfen;stomp;2018-07-03 12:16:42
29;unermüdlich, gnadenlos;relentlessly;2018-07-03 12:16:56
30;scheußlich, unehelich, schlecht konzipiert;misbegotten;2018-07-03 12:17:12
31;zart, sanft, behutsam, mild, leise, mäßig, sanftmütig, gemächlich;gentle;2018-07-03 12:17:31
32;schwenken, drehen, Drehgelenk, Wirbel (von Wirbelsäule);swivel;2018-07-03 12:17:50
33;erstaunen, überraschen;astonish;2018-07-03 12:18:02
34;geduldig, Patient;patient;2018-07-03 12:18:10
35;belasten, Palme, Handfläche, Sieg;palm;2018-07-03 12:18:22
36;abgewischt, gewischt;wiped;2018-07-03 12:18:28
37;freikaufen, erlösen, gegen Lösegeld freilassen, Lösegeld, Erlösung;ransom;2018-07-03 12:18:53
38;abstürzen, fallen, sinken, ungebremmst fallen;plummet;2018-07-03 12:19:30
39;taumeln, torkeln;lurch;2018-07-03 12:19:39
40;abscheulich, eckelerregend;sickening;2018-07-03 12:20:03
41;Von der Steuer absetzbar;tax deductible;2018-07-03 12:20:26
42;beklagen, jammern, lamentieren, Trübsahl blasen;lament;2018-07-05 07:01:24
43;Schaum, Schaumstoff, (auf-/über-) schäumen;foam;2018-07-05 07:01:45
44;Leichenwagen;hearse;2018-07-05 07:02:08
45;Intergalaktischer Leichenwagen;hyperhearse;2018-07-05 07:02:28
46;heulen, jaulen, brüllen;howl;2018-07-05 07:02:42
47;widerlich, unerträglich, Ekel erregend;sickeningly;2018-07-05 07:02:55
48;schwanken, torkeln, schaukeln, überreden, beeinflussen;sway;2018-07-05 07:03:09
49;Schnelligkeit;rapidity;2018-07-05 07:03:19
50;teilweise, halb, parzellieren, Paket, Haufen, Stück;parcel;2018-07-05 07:03:48
51;verlassen, stehen lassen, abschaffen, aufgeben, preisgeben, still legen, sitzen lassen;abandon;2018-07-05 07:04:10
52;Stadtrand, Randgebiet, Vorort;outskirts;2018-07-05 07:04:50
53;vernichten, verderben, zerstören;blight;2018-07-05 07:05:00
54;bedeuten, Bedeutung, Anliegen, Sache, Materie;matter;2018-07-05 07:05:10
55;obwohl, jedoch, aber;though;2018-07-05 07:14:24
56;heimtückisch, trügerisch;treacherous;2018-07-05 07:14:37
57;keuchen;wheeze;2018-07-05 07:14:43
58;Wirbel, Strudel;Vortex;2018-07-05 07:14:53
59;Auftakt, Einleitung, Vorspiel;prelude;2018-07-05 07:15:02
60;schielen, blinzeln;squint;2018-07-05 07:15:14
61;räkeln;lol;2018-07-05 07:15:19
62;antik, historisch;ancient;2018-07-05 07:15:24
63;Reibung;friction;2018-07-05 07:15:37
64;Gefühlslosigkeit;callousness;2018-07-05 07:15:47
65;trüb;blearily;2018-07-05 07:15:52
66;vermitteln, schlichten;arbitrate;2018-07-05 07:16:00
67;abwertend;degoratory;2018-07-05 07:16:14
68;prahlen, angeben;boast;2018-07-05 07:16:20
69;belästigt;harassed;2018-07-05 07:16:33
70;unterscheiden;distinguish;2018-07-05 07:16:42
71;absichtlich;on purpose;2018-07-05 07:16:46
72;Ausmaß, Betrag, Größenordnung, Stärke, Menge, Umfang;magnitude;2018-07-05 07:16:59
73;Morgentau;morning dew;2018-07-05 12:27:55
74;spiegelnd;specular;2018-07-05 16:21:04
76;Hallo;Hello;2018-07-06 10:51:55
77;Dampf, Dunst, Wahn, ;Vapor;2018-07-07 15:38:54
78;beharken, bombadieren;strafe;2018-07-10 15:35:55
79;verwirrrend;tangling;2018-07-11 13:42:48
80;Anmerkung, Kommentar, Vermerk;Annotation;2018-07-11 13:43:15
81;Streuung, verstreuend, ausseinandertreibend;scattering;2018-07-11 13:43:52
82;Sieg, Triumph, Erfolg;Victory;2018-07-12 04:46:52
83;Angebot, Vorhaben, anmachen, Behauptung, These, Absicht;proposition;2018-07-13 06:09:53
84;Beleg, Beweis, Hinweis, Nachweis;Evidence;2018-07-15 09:24:28
85;Hauptkomponentenanalyse;Principal Component Analysis;2018-07-15 09:25:02
86;alleine durch denken gewonnen, von der Wahrnehmung unabhängig;a priori;2018-07-15 09:49:16
87;aus Erfahrung, aus Wahrnehmung gewonnen;a posteriori;2018-07-15 09:49:51
88;Abweichung, Ableitung, Herkunft, Herleitung;derivation;2018-07-15 11:39:26
89;einschüchtern, bedrohen ;intimidate;2018-07-16 13:49:47
90;aufdringlich, störend;intrusive;2018-07-16 13:52:36
91;Vorbehalt, Einspruch, Warnung, Mahnung;caveat;2018-07-16 14:28:09
92;Impedanz, hemmen, hindern;impedance;2018-07-17 06:41:31
93;propagieren, ausbreiten, fortpflanzen, werben;propagate;2018-07-17 09:38:58
94;räumlich;spatial;2018-07-20 08:31:03
95;Wahnsinn, Verrücktheit;madness;2018-07-20 13:27:22
96;starren, glotzen, gaffen;stare;2018-07-23 10:06:53
97;standardisiert, genormt;standardised;2018-07-24 07:04:59
98;außerdem, ferner, des weiteren;moreover;2018-07-24 07:15:04
99;entkoppeln;decouple;2018-07-24 07:18:05
100;kahl, glatzköpfig, karg, armselig, bedürftig;bald;2018-08-14 14:51:02
101;Unklarheit, Unbestimmtheit, Vagheit, Verschwommen;vagueness;2018-08-14 14:53:01
102;Falle, Stolperfalle, Schwierigkeit;pitfall;2018-08-15 06:40:13
103;zwangsräumen;evict;2018-08-15 11:06:45
104;Ersatz, stellvertretend, nicht vollwertig;surrogate;2018-08-16 12:16:36
105;Grenze, Grenzgebiet, Landesgrenze;frontier;2018-08-16 12:44:17
106;beliebig, zufällig, eigenwillig;arbitrary;2018-08-22 06:14:27
107;staunen, wundern;marvel;2018-08-27 05:44:47
108;posieren, (Fragen) aufwerfen, darlegen, darstellen;pose;2018-09-10 11:38:13
109;Wollknäul;ball of wool;2018-09-17 07:59:42
110;Nachwirkung, Folge, Nachspiel;aftermath;2018-09-19 05:23:20
111;Kühlkörper;heatsink;2018-09-19 13:34:44
112;schief, schräg, verzerren, verdrehen, umdrehen;skew;2018-10-01 06:08:06
113;schildern, beschreiben, darstellen;depict;2018-10-07 09:40:04
114;kontinulierlich, stetig, fortlaufend, endlos;continuous;2018-10-17 08:14:58
115;durchdacht, ausgeklügelt, anspruchsvoll, ausgefeilt, komplex;sophisticated;2018-10-29 09:09:21
116;fehleranfällig;error-prone;2018-11-19 07:27:27
117;Spannung, spannen, beanspruchen;tension;2018-12-03 14:16:37
118;etepetete, pingelich, zimperlich, pedantisch, wählerisch;finicky;2019-01-21 12:35:36
119;Undurchsichtigkeit;opacity;2019-02-08 09:56:34
120;Chancen, Wahrscheinlichkeit, Gewinnchancen;odds;2019-02-11 09:45:36
121;schräg, sonderbar, verschroben;weird;2019-02-11 09:46:27
122;Epoche, Zeitraum, Abschnitt;epoch;2019-02-14 08:41:15
123;Angst, Sorge, Unruhe, Furcht;anxiety;2019-02-14 08:43:40
124;bewundern, verehren;admire;2019-02-15 07:01:09
125;zugeben, einräumen, anerkennen;admit;2019-02-15 07:01:39
126;Kompromiss;tradeoff;2019-03-13 09:55:58
127;anwenden, (aus-) nutzen, verwerten;utilize;2019-03-13 09:57:13
128;Zusammenlegung, Vertiefung, Fusion, Verdichtung;consolidation;2019-03-13 10:52:23
129;Mangel, Knappheit, Engpass, Unterversorgung;shortage;2019-03-13 10:56:31
130;durchsetzen, erzwingen, vollstrecken;enforce;2019-03-13 13:36:27
131;ausreichend, hinreichend, genügend;sufficient;2019-03-13 13:51:50
132;kühn, waghalsig, draufgängerisch, verwegen, experimentierfreudig;adventurous;2019-03-13 14:15:20
133;vorschlagen, anregen, beabsichtigen;propose;2019-03-14 10:29:05
134;bescheiden, demütig, einfach;humble;2019-03-22 06:11:49
135;nicken, zunicken, schlafen;nod;2019-03-29 13:24:13
136;Leid, Kummer, Sorge;woe;2019-04-05 10:44:58
137;vermeidbar;envitable;2019-04-28 11:02:58
138;reichlich, genügend, hinreichend, ;ample;2019-04-28 11:03:55
139;Überlastung, Andrang, Stau, ;congestion;2019-05-03 11:01:55
140;Gedankengang, Argumentation, Schlussfolgerung;reasoning;2019-05-03 11:02:35
141;installieren, verteilen, anwenden;deploy;2019-05-10 13:00:31
142;Fähigkeit, Möglichkeit, Potential, Ressource;Capability;2019-05-10 13:01:06
143;bezeichnen, symbolosieren, markieren;denote;2019-05-15 10:23:44
144;kleinste, geringste;least;2019-05-15 12:19:27
145;d.h., sprich;i.e.;2019-05-24 14:07:06
146;anspornen, beflügeln, anstacheln;spur;2019-05-27 08:07:08
147;ernten, erlangen, einheimsen;reap;2019-05-29 13:27:05
148;reichlich, üppig, großzügig, umfänglich;amply;2019-06-19 08:12:52
149;ernst, heftig, streng, hart, akut, massiv, bitter, scharf, schwerwiegend, empfindlich;severe;2019-06-19 08:30:19
150;Erwartung, Vorahnung, Vorgreifen;anticipation;2019-06-25 10:32:55
151;Begriffserklärung, Vereindeutlichung;disambigulation;2019-06-27 09:02:45
152;huckepack;piggyback;2019-07-01 19:49:37
153;verflochten, miteinander verknüpft;intertwinded;2019-07-02 06:49:13
154;schildern, beschreiben, abbilden, verbindlichen;depict;2019-07-08 06:29:17
155;verbergen, bunkern;stash;2019-07-09 05:56:38
156;täglich;diurnal;2019-08-17 17:42:45
157;flüchtig, schankend, wechselhaft, vergänglich;volatile;2019-08-23 18:31:20
158;verweilen, trödeln, lungern, nachklingen, fortbestehen;linger;2019-08-28 07:29:52
159;Gegenstand, Element, Sache, Artikel;item;2019-09-07 05:35:54
160;knapp, eingeschränkt;narrow;2019-09-24 15:46:06
161;kontinuierlich, stetig, dauernd, ununterbrochen;continuousely;2019-10-01 10:18:29
162;durchführen, leiten, betreiben;conduct;2019-10-01 13:27:05
163;verstehen, begreifen;grok;2019-10-02 05:12:08
164;aufnehmen, beschaffen, organisieren, erlangen, gewinnen;acquire;2019-10-02 09:06:09
165;inaktiv, faul, nutzlos, unproduktiv;idle;2019-10-02 09:29:29
166;jubeln, glücklich sein, sich freuen;rejoice;2019-10-12 11:38:52
167;Eigenschaft, Merkmal, Wesenszug;trait;2019-10-16 08:23:31
168;praktisch, bequem, passend, vorteilhaft;convenient;2019-10-22 13:25:59
169;angrenzend, benachbart, adjazent;adjacent;2019-10-26 05:40:30
170;Spitzfindigkeit, herummäkeln, kleinlich kritisieren;nitpick;2019-10-27 07:38:04
171;(aus-) sieben;sieve;2019-10-28 08:27:27
172;anbinden, anketten;tether;2019-11-08 10:27:42
173;zurückführen, zuweisen, zuschreiben, unterstellen;ascribe;2019-11-11 10:36:57
174;Verstoß, Missmachtung;violation;2019-11-15 06:09:49
175;direkt, geradeheraus;upfront;2019-11-19 06:55:57
176;abgelaufen, verdorben, abgestanden, fad, schal;stale;2019-11-25 12:45:49
177;unzuverlässig, exzentrisch, flockig;flaky;2019-12-16 09:37:24
178;verzögern, hinhalten, abwürgen, steckenbleiben;stall;2019-12-27 18:40:44
179;entfesselt, ungebunden;unbound;2020-01-01 14:38:24
180;anerkannt, autorisiert, vorschriftsmäßig;canonical;2020-01-03 06:40:41
181;behaupten, versichern, ;assert;2020-01-07 06:30:24
182;Scherbe, Splitter, Bruchstück;shard;2020-01-08 09:59:20
183;Tugend, Wirkung, Vorteil, Kraft, Wirksamkeit, Eigenschaft;virtue;2020-01-13 06:15:09
184;entschärfen, lindern, abschwächen;mitigate;2020-01-23 06:32:16
185;vernünftig, umsichtig, diskret;prudent;2020-01-27 17:25:47
186;herausziehen;yank;2020-01-30 09:16:32
187;vernachlässigbar, unwesentlich;negligible;2020-02-11 06:46:12
188;Konsens, Einigkeit, Übereinstimmung;consensus;2020-02-16 14:39:24
189;skeptisch, agnostisch;agnostic;2020-02-25 08:47:38
190;stabil, robust, kräftig, unbeugsam;sturdy;2020-05-08 05:40:14
191;Auswahl, Kurzfassung, Hashwert;digest;2020-06-04 08:57:46
192;anhängen, anschließen, befestigen;attach;2020-06-09 09:05:25
193;lösen, abtrennen;detach;2020-06-09 09:05:55
194;vernünftig, umsichtig;judiciously;2020-06-15 13:18:23
195;Wortschatz;vocabulary;2020-06-26 07:00:02
196;Überhang, Rückstau, Rückstand, Nachholbedarf;backlog;2020-08-04 11:06:02
197;Wache, Wachposten, Markierung;sentinel;2020-08-10 14:44:45
198;Knappheit, Mangel, Verknappung, Seltenheit;scarcity;2020-08-11 04:29:29
199;Zugang, Eintritt;ingress;2020-08-17 18:49:19
200;Schutzhelm;hard hat;2020-09-13 06:58:54
201;ergänzen, Nachtrag, Zusatz;supplement;2020-10-20 09:27:56
202;Souveränität, Eigenständigkeit;sovereignty;2020-11-09 07:48:19
203;abwesend;absent;2020-11-09 10:19:25
204;abmühen, hart arbeiten;labor;2020-11-25 07:12:52
205;ablehnend, feindlich, verfeindet;hostile;2020-12-09 06:58:58
206;Skala, Bandbreite, Spektrum;gamut;2020-12-30 10:22:16
207;Beobachtbarkeit;observability;2021-01-20 12:51:09
208;mit den Achseln zucken, ;shrug;2021-01-28 07:56:51
209;Rechtschaffenheit, Gerechtigkeit;righteousness;2021-02-07 09:01:11
210;Gnade, Mitleid;mercy;2021-02-12 10:46:24
211;verflucht, scheusslich;cursed;2021-02-25 10:03:53
212;stillegen;quiesce;2021-03-11 13:24:57
213;berüchtigt, verrufen;notorious;2021-04-16 09:05:58
214;dumpf, leer, hohl, bedeutungslos;hollow;2021-05-12 15:31:59
215;Ansammlung, Versammlung, Erfassung;gathering;2021-05-17 05:45:44
216;herumschnüffeln;snoop;2021-06-08 08:29:58
217;lebhaft, launisch, wechselhaft;mercurial;2021-06-14 08:16:58
218;ablehnend, feindselig, ;hostile;2021-07-20 18:19:05
219;leichtfertig, wahllos;promiscuous;2021-09-01 07:27:12
220;Diskrepanz, nicht zusammenpassen;mismatch;2021-09-06 05:43:30
221;Übergang, Umstellung, Wende;transition;2021-09-17 17:59:18
222;verschlimmer, erschweren, verschärfen, verärgern;exacerbate;2021-10-06 08:56:18
223;Begabug, Fährigkeit, Talent, Geschick, Neigung;aptitude;2021-10-22 12:50:08
224;sanftmütig, fügsam, widerstandslos;docile;2021-10-27 05:49:45
225;beruhigend, schmerzstillend, nichtssagend;anodyne;2021-10-27 05:56:11
226;Stabilität, Belastbarkeit, Widerstandskraft;resilience;2021-11-01 08:18:25
227;Rautenzeichen;octophorpe;2022-02-04 09:17:49
228;glücklicherweise, zufällig entdeckt;serendipitous;2022-02-14 09:53:22
229;lebhaft, strahlend, klar, blühend;vivid;2022-02-25 07:48:35
230;Fase, Schräge;chamfer;2022-03-03 20:37:47
231;was auch immer, jeglicher Art ;whatsoever;2022-04-22 12:36:08
232;schief, schräg, quer, verrutscht;askew;2022-04-25 08:31:21
233;gereizt, reizbar;testy;2022-04-28 07:52:06
234;nachfolgend, anschließend;subsequent;2022-06-13 05:26:39
235;irrelevant, hypothetisch;moot;2022-07-19 04:49:45
